pass.fname,pass.lname,pass.dob,pass.age,pass.gender,pass.status,home.address,home.city,home.prov,home.country,emerg.contact.fname,emerg.contact.lname,emerg.contact.relationship,emerg.contact.phone,board.date,board.location
Nicole,Miller,1958-09-17,66,Female,Silver,"8125 Tony Stravenue Boulevard, Lethbridge, Alberta, C6J1P5, Canada",Lethbridge,AB,Canada,Lisa,Jackson,Relative,(483) 503-0564,2025-02-09,"Halifax, NS"
Nicole,Ramirez,1974-01-18,51,Female,Platinum,"1638 Pugh Loaf Street, Red Deer, Alberta, M6K 4P1, Canada",Red Deer,AB,Canada,Jeffrey,Meyer,Relative,(356) 159-5148,2025-02-09,"Halifax, NS"
Scott,Ramirez,1978-01-17,47,Male,Platinum,"1638 Pugh Loaf Street, Red Deer, Alberta, M6K 4P1, Canada",Red Deer,AB,Canada,Jeffrey,Meyer,Relative,(356) 159-5148,2025-02-09,"Halifax, NS"
Julie,Spencer,1999-06-03,25,Female,Silver,"2345 James Overpass Avenue, Red Deer, Alberta, B7L8T8, Canada",Red Deer,AB,Canada,Bradley,Robertson,Other,(433) 200-3791,2025-02-09,"Halifax, NS"
Kaitlyn,Jones,1996-06-03,28,Female,Silver,"2345 James Overpass Avenue, Red Deer, Alberta, B7L8T8, Canada",Red Deer,AB,Canada,Bradley,Robertson,Other,(433) 200-3791,2025-02-09,"Halifax, NS"
Kevin,Hernandez,1964-07-31,60,Male,Gold,"8177 Joshua Mission Lane, Nanaimo, British Columbia, G7C7B8, Canada",Nanaimo,BC,Canada,Stephanie,Simmons,Other,(727) 743-4873,2025-02-09,"Halifax, NS"
Amber,Hernandez,1963-08-01,61,Female,Gold,"8177 Joshua Mission Lane, Nanaimo, British Columbia, G7C7B8, Canada",Nanaimo,BC,Canada,Stephanie,Simmons,Other,(727) 743-4873,2025-02-09,"Halifax, NS"
Michael,Orozco,1998-06-16,26,Male,Silver,"3955 Nichole Well Road, Quebec City, Quebec, R3P7L9, Canada",Quebec City,QC,Canada,Tommy,Evans,Relative,(373) 467-0656,2025-02-09,"Halifax, NS"
Shannon,Tran,1997-03-17,27,Female,Silver,"5584 Paige Cliffs Lane, Kelowna, British Columbia, H5Y 9L1, Canada",Kelowna,BC,Canada,Brittany,Shepherd,Other,(699) 938-6774,2025-02-09,"Halifax, NS"
Jacob,Tran,1995-03-18,29,Male,Silver,"5584 Paige Cliffs Lane, Kelowna, British Columbia, H5Y 9L1, Canada",Kelowna,BC,Canada,Brittany,Shepherd,Other,(699) 938-6774,2025-02-09,"Halifax, NS"
Anna,Holland,1971-07-11,53,Female,Gold,"1963 Castro Cove Court, Toronto, Ontario, C2X 8J4, Canada",Toronto,ON,Canada,Katherine,Miller,Relative,(659) 401-3990,2025-02-09,"Halifax, NS"
Linda,Johnston,1998-11-20,26,Female,Silver,"3832 Cole Views Street, Quebec City, Quebec, L5N4N4, Canada",Quebec City,QC,Canada,Tony,Cervantes,Other,(071) 545-1680,2025-02-09,"Halifax, NS"
Austin,Smith,1986-08-23,38,Male,Silver,"8732 Sherri Locks Court, Steinbach, Manitoba, C1K5C5, Canada",Steinbach,MB,Canada,Jessica,Garcia,Other,(005) 045-5623,2025-02-09,"Halifax, NS"
Georgina,Smith,1992-08-21,32,Male,Silver,"8732 Sherri Locks Court, Steinbach, Manitoba, C1K5C5, Canada",Steinbach,MB,Canada,Jessica,Garcia,Other,(005) 045-5623,2025-02-09,"Halifax, NS"
Justin,Diaz,1948-12-15,76,Male,Silver,"3948 Phillip Trail Crescent, Nanaimo, British Columbia, C3J2X4, Canada",Nanaimo,BC,Canada,Rodney,Blankenship,Other,(047) 113-8267,2025-02-09,"Halifax, NS"
Joshua,Jones,1959-08-20,65,Male,Platinum,"5249 Marcus Inlet Terrace, Quebec City, Quebec, S8V5H4, Canada",Quebec City,QC,Canada,Jessica,Beasley,Relative,(565) 452-7111,2025-02-09,"Halifax, NS"
Jacqueline,Jones,1957-08-20,67,Female,Platinum,"5249 Marcus Inlet Terrace, Quebec City, Quebec, S8V5H4, Canada",Quebec City,QC,Canada,Jessica,Beasley,Relative,(565) 452-7111,2025-02-09,"Halifax, NS"
Jessica,Tucker,1993-05-10,31,Female,Silver,"3017 Timothy Forges Street, Kingston, Ontario, S6S 5J8, Canada",Kingston,ON,Canada,Michael,Tucker,Relative,(071) 596-9664,2025-02-09,"Halifax, NS"
Shelley,Tucker,1996-05-09,28,Female,Silver,"3017 Timothy Forges Street, Kingston, Ontario, S6S 5J8, Canada",Kingston,ON,Canada,Michael,Tucker,Relative,(071) 596-9664,2025-02-09,"Halifax, NS"
Jennifer,Sanchez,1964-06-17,60,Female,Silver,"7023 Deleon Corners Lane, Hamilton, Ontario, K2R1N2, Canada",Hamilton,ON,Canada,Lance,Wolf,Other,(997) 995-5271,2025-02-09,"Halifax, NS"
Omar,Sanchez,1962-06-18,62,Male,Silver,"7023 Deleon Corners Lane, Hamilton, Ontario, K2R1N2, Canada",Hamilton,ON,Canada,Lance,Wolf,Other,(997) 995-5271,2025-02-09,"Halifax, NS"
Karl,Romero,1947-03-18,77,Male,Silver,"3194 Vasquez Squares Boulevard, Kingston, Ontario, J4P 3K9, Canada",Kingston,ON,Canada,Matthew,Williams,Other,(892) 554-6659,2025-02-09,"Halifax, NS"
Elizabeth,Holland,2001-01-09,24,Female,Silver,"4051 Emma Streets Boulevard, Quebec City, Quebec, G4M5V3, Canada",Quebec City,QC,Canada,Maria,Murphy,Relative,(816) 850-5423,2025-02-09,"Halifax, NS"
Sara,Atkins,1983-11-07,41,Female,Gold,"6556 Nichole Plaza Avenue, Surrey, British Columbia, K9S 4C8, Canada",Surrey,BC,Canada,Brian,Murphy,Relative,(275) 705-9640,2025-02-09,"Halifax, NS"
Michael,Atkins,1982-11-07,42,Male,Gold,"6556 Nichole Plaza Avenue, Surrey, British Columbia, K9S 4C8, Canada",Surrey,BC,Canada,Brian,Murphy,Relative,(275) 705-9640,2025-02-09,"Halifax, NS"
Howard,Owen,1949-06-05,75,Male,Silver,"6959 Hughes Terrace Lane, London, Ontario, A9C3A2, Canada",London,ON,Canada,Laura,Moreno,Relative,(027) 868-1447,2025-02-09,"Halifax, NS"
Patricia,Owen,1955-06-04,69,Female,Silver,"6959 Hughes Terrace Lane, London, Ontario, A9C3A2, Canada",London,ON,Canada,Laura,Moreno,Relative,(027) 868-1447,2025-02-09,"Halifax, NS"
Tammy,Gonzalez,1992-01-25,33,Female,Gold,"9144 Mccormick Mall Road, Montreal, Quebec, T7H 6C5, Canada",Montreal,QC,Canada,Curtis,Taylor,Other,(578) 291-1467,2025-02-09,"Halifax, NS"
Nancy,Gonzalez,1993-01-25,32,Female,Gold,"9144 Mccormick Mall Road, Montreal, Quebec, T7H 6C5, Canada",Montreal,QC,Canada,Curtis,Taylor,Other,(578) 291-1467,2025-02-09,"Halifax, NS"
Joshua,Morgan,1981-01-15,44,Female,Silver,"1242 Avery Junctions Boulevard, Hamilton, Ontario, G1P1M5, Canada",Hamilton,ON,Canada,Elizabeth,Morgan,Relative,(276) 773-5925,2025-02-09,"Halifax, NS"
Jessica,Morgan,1987-01-14,38,Female,Silver,"1242 Avery Junctions Boulevard, Hamilton, Ontario, G1P1M5, Canada",Hamilton,ON,Canada,Elizabeth,Morgan,Relative,(276) 773-5925,2025-02-09,"Halifax, NS"
John,Herrera,1991-01-20,34,Male,Gold,"4962 Freeman Field Street, Vancouver, British Columbia, M1L 7N5, Canada",Vancouver,BC,Canada,Gina,Lopez,Relative,(800) 025-7872,2025-02-09,"Halifax, NS"
Daniel,Lopez,1992-01-20,33,Male,Gold,"4962 Freeman Field Street, Vancouver, British Columbia, M1L 7N5, Canada",Vancouver,BC,Canada,Gina,Lopez,Relative,(800) 025-7872,2025-02-09,"Halifax, NS"
Jeffrey,Flores,1977-01-11,48,Male,Silver,"3095 Terri Stream Avenue, Laval, Quebec, E7X 1N8, Canada",Laval,QC,Canada,Mark,Harvey,Relative,(130) 756-2636,2025-02-09,"Halifax, NS"
Angela,Moses,1947-01-08,78,Female,Silver,"400 Green Ports Road, Hamilton, Ontario, X4E7T7, Canada",Hamilton,ON,Canada,Ashlee,Townsend,Relative,(826) 773-4540,2025-02-09,"Halifax, NS"
Shawna,Prince,1984-09-11,40,Female,Gold,"1269 Mckee Isle Crescent, Halifax, Nova Scotia, H5R4Y3, Canada",Halifax,NS,Canada,Julie,Walters,Relative,(933) 272-7956,2025-02-09,"Halifax, NS"
Larry,Walters,1988-09-10,36,Male,Gold,"1269 Mckee Isle Crescent, Halifax, Nova Scotia, H5R4Y3, Canada",Halifax,NS,Canada,Julie,Walters,Relative,(933) 272-7956,2025-02-09,"Halifax, NS"
Walter,Padilla,1987-07-08,37,Male,Silver,"3017 Timothy Forges Street, Kingston, Ontario, S6S 5J8, Canada",Kingston,ON,Canada,Jason,Elliott,Relative,(740) 640-3910,2025-02-09,"Halifax, NS"
Ashley,Padilla,1988-03-23,36,Female,Silver,"3017 Timothy Forges Street, Kingston, Ontario, S6S 5J8, Canada",Kingston,ON,Canada,Jason,Elliott,Relative,(740) 640-3910,2025-02-09,"Halifax, NS"
Bryan,Michael,1979-06-15,45,Male,Silver,"1568 Garcia Meadow Drive, Laval, Quebec, C4J 5B9, Canada",Laval,QC,Canada,Veronica,Ford,Other,(337) 524-3106,2025-02-09,"Halifax, NS"
Erica,Michael,1974-07-16,50,Female,Silver,"1568 Garcia Meadow Drive, Laval, Quebec, C4J 5B9, Canada",Laval,QC,Canada,Veronica,Ford,Other,(337) 524-3106,2025-02-09,"Halifax, NS"
Sara,Garcia,1965-01-19,60,Female,Platinum,"2250 Davis Crossroad Crescent, Quebec City, Quebec, S3L 4N8, Canada",Quebec City,QC,Canada,Charles,Keller,Relative,(644) 089-2687,2025-02-09,"Halifax, NS"
Ken,Garcia,1963-01-20,62,Male,Platinum,"2250 Davis Crossroad Crescent, Quebec City, Quebec, S3L 4N8, Canada",Quebec City,QC,Canada,Charles,Keller,Relative,(644) 089-2687,2025-02-09,"Halifax, NS"
Kristi,Hudson,1998-07-12,26,Female,Gold,"8652 Vanessa Rapids Drive, Dartmouth, Nova Scotia, G1L 7K3, Canada",Dartmouth,NS,Canada,Alexa,Wagner,Other,(770) 088-6008,2025-02-09,"Halifax, NS"
John,Hall,1989-05-11,35,Male,Gold,"2617 Sellers Port Road, Kingston, Ontario, L7Y7K7, Canada",Kingston,ON,Canada,Nicole,Marquez,Other,(396) 856-2185,2025-02-09,"Halifax, NS"
Kimberly,Hall,1984-05-12,40,Female,Gold,"2617 Sellers Port Road, Kingston, Ontario, L7Y7K7, Canada",Kingston,ON,Canada,Nicole,Marquez,Other,(396) 856-2185,2025-02-09,"Halifax, NS"
